MSINI,A,ECC,K,STAR
mjupiter,au,,m/s,
1.19316,0.0355765,0,181.3,TrES-2
0.752484,0.0392516,0,115.2,TrES-1
2.5,0.697981,0.06,82,TYC 1422-614-1
10,1.39588,0.048,233,TYC 1422-614-1
,0.0583511,0,,TRAPPIST-1
,0.0152078,,,TRAPPIST-1
,0.0111033,0,,TRAPPIST-1
2.483,0.0215077,0,558.7,Qatar-2
1.08272,0.0234308,0,218,Qatar-1
1.84394,0.0320419,0,299.9,Pr 211
0.540155,0.0565986,0,58.1,Pr 201
,0.416595,0.0252,,PSR B1257+12
,0.321369,0.0186,,PSR B1257+12
,0.168494,0,,PSR B1257+12
,0.825444,0.41,,PH-2
,0.629412,0.0539,,PH-1
,,,,OGLE235-MOA53
4.50213,0.0413279,0,510,OGLE2-TR-L9
1.35447,0.0238308,0,225,OGLE-TR-56
0.753425,0.0512842,0,82,OGLE-TR-211
1.02162,0.0513517,0,120,OGLE-TR-182
1.16945,0.0303507,0,167,OGLE-TR-132
1.25508,0.0228946,0,267,OGLE-TR-113
0.548406,0.0468733,0,78,OGLE-TR-111
0.626643,0.0434856,0,80,OGLE-TR-10
,,,,OGLE-2011-BLG-0251
,,,,OGLE-2007-BLG-368L
,4.52773,0.15,,OGLE-2006-BLG-109L
,2.30386,,,OGLE-2006-BLG-109L
,2.72349,,,OGLE-05-390L
,3.41991,,,OGLE-05-169L
,3.54863,,,OGLE-05-071L
2.24099,6.15467,0.22,26.3,NN Ser
0.642621,3.70596,0.05,9.5,NN Ser
9.88561,1.68103,0.19,188,NGC 4349 127
6.63106,1.6555,0.21,137.6,NGC 2423 3
,,,,MOA-bin-1L
,,,,MOA-2010-BLG-477L
,1.76808,,,MOA-2009-BLG-387L
,,,,MOA-2009-BLG-319L
,,,,MOA-2009-BLG-266L
,,,,MOA-2008-BLG-310L
,,,,MOA-2007-BLG-400L
,,,,MOA-2007-BLG-192L
0.397418,0.057344,0.39,52.29,M 67 YBP 1514
0.346328,0.0715732,0.24,37.72,M 67 YBP 1194
1.88274,0.531449,0.35,67.42,M 67 SAND 364
,0.0645018,0,,Kepler-998
,0.0406211,0,,Kepler-997
,0.0487927,0,,Kepler-996
,0.170669,0,,Kepler-995
,0.0177185,0,,Kepler-994
,0.127733,0,,Kepler-993
,0.134576,0,,Kepler-992
,0.31971,0,,Kepler-991
,0.0918185,0,,Kepler-990
,0.0131638,0,,Kepler-990
0.0203553,0.0500668,0,2.91,Kepler-99
,0.0730539,0,,Kepler-989
,0.109153,0,,Kepler-988
,0.432008,0,,Kepler-987
,0.284051,0,,Kepler-986
,0.451946,0,,Kepler-985
,0.237086,0,,Kepler-984
,0.312713,0,,Kepler-983
,0.129335,0,,Kepler-982
,0.0527478,0,,Kepler-981
,0.101644,0,,Kepler-980
0.010276,0.0260305,0,1.82,Kepler-98
,0.0752791,0,,Kepler-979
,0.270303,0,,Kepler-978
,0.167537,0,,Kepler-977
,0.418342,0,,Kepler-976
,0.0285538,0,,Kepler-975
,0.0409318,0,,Kepler-974
,0.251269,0,,Kepler-973
,0.0753112,0,,Kepler-972
,0.084658,0,,Kepler-971
,0.113697,0,,Kepler-970
0.0106941,0.036125,0,1.65,Kepler-97
,0.200444,0,,Kepler-969
,0.0269307,0,,Kepler-969
,0.0570521,0,,Kepler-968
,0.0426707,0,,Kepler-968
,0.628803,0,,Kepler-967
,0.103279,0,,Kepler-967
,0.423716,0,,Kepler-966
,0.521537,0,,Kepler-965
,0.108427,0,,Kepler-964
,0.0878919,0,,Kepler-963
,0.100445,0,,Kepler-962
,0.127028,0,,Kepler-961
,0.0383568,0,,Kepler-960
0.0261659,0.125499,0,2.1,Kepler-96
,0.137986,0,,Kepler-959
,0.0866604,0,,Kepler-958
,0.0596165,0,,Kepler-957
,0.0610151,0,,Kepler-956
,0.112106,0,,Kepler-955
,0.12007,0,,Kepler-954
,0.381801,0,,Kepler-953
,0.0839169,0,,Kepler-953
,0.503142,0,,Kepler-952
,0.309084,0,,Kepler-951
,0.420795,0,,Kepler-950
,0.102439,0,3.36,Kepler-95
,0.0795658,0,,Kepler-949
,0.0757275,0,,Kepler-948
,0.169908,0,,Kepler-947
,0.0993188,0,,Kepler-946
,0.191192,0,,Kepler-945
,0.22955,0,,Kepler-944
,0.258472,0,,Kepler-943
,0.230681,0,,Kepler-942
,0.126522,0,,Kepler-941
,0.295668,0,,Kepler-940
,0.033677,0,6.11,Kepler-94
,0.11345,0,,Kepler-939
,0.267315,0,,Kepler-938
,0.587421,0,,Kepler-937
,0.340485,0,,Kepler-937
,0.0916253,0,,Kepler-936
,0.0518363,0,,Kepler-935
,0.265992,0,,Kepler-934
,0.109579,0,,Kepler-933
,0.0288756,0,,Kepler-932
,0.0746773,0,,Kepler-931
,0.36301,0,,Kepler-930
0.00814206,0.0534149,0,1.05,Kepler-93
,0.0185879,0,,Kepler-929
,0.0439026,0,,Kepler-928
,0.0851117,0,,Kepler-927
,0.273799,0,,Kepler-926
,0.187771,0,,Kepler-925
,0.316935,0,,Kepler-924
,0.0736811,0,,Kepler-923
,0.0184414,0,,Kepler-922
,0.263744,0,,Kepler-921
,0.407808,0,,Kepler-920
,0.0657805,0,,Kepler-920
,0.101697,0,,Kepler-919
,0.0580906,0,,Kepler-918
,0.0375418,0,,Kepler-917
,0.188012,0,,Kepler-916
,0.0576393,0,,Kepler-915
,0.054326,0,,Kepler-914
,0.0794059,0,,Kepler-913
,0.0372128,0,,Kepler-912
,0.160616,0,,Kepler-911
,0.0375152,0,,Kepler-910
,0.119407,0,,Kepler-909
,0.0246365,0,,Kepler-908
,0.126784,0,,Kepler-907
,0.239949,0,,Kepler-906
,0.0568739,0,,Kepler-905
,0.0429791,0,,Kepler-904
,0.30753,0,,Kepler-903
,0.0923273,0,,Kepler-903
,0.225432,0,,Kepler-902
,0.0379647,0,,Kepler-901
,0.0658684,0,,Kepler-900
0.248865,0.140548,0.150841,19.09,Kepler-9
0.16858,0.22473,0.132575,10.2,Kepler-9
,0.0266925,0,,Kepler-9
,0.136873,0,,Kepler-899
,0.0551696,0,,Kepler-898
,0.079369,0,,Kepler-897
,0.508596,0,,Kepler-896
,0.0337283,0,,Kepler-895
,0.0855774,0,,Kepler-894
,0.0670296,0,,Kepler-893
,0.102064,0,,Kepler-892
,0.283142,0,,Kepler-891
,0.283321,0,,Kepler-890
0.302867,0.173437,0.022,18.3,Kepler-89
0.0986881,0.304548,0.019,4.5,Kepler-89
0.0287326,0.0511881,0.25,3.3,Kepler-89
,0.101317,0.43,,Kepler-89
,0.0492984,0,,Kepler-889
,0.331234,0,,Kepler-888
,0.15495,0,,Kepler-887
,0.0804377,0,,Kepler-887
,0.0684849,0,,Kepler-886
,0.143843,0,,Kepler-885
,0.0624428,0,,Kepler-884
,0.110239,0,,Kepler-883
,0.0475302,0,,Kepler-882
,0.0539414,0,,Kepler-881
,0.0866835,0,,Kepler-880
,0.204258,0,,Kepler-879
,0.159872,0,,Kepler-878
,0.129482,0,,Kepler-877
,0.0543655,0,,Kepler-876
,0.181834,0,,Kepler-875
,0.235841,0,,Kepler-874
,0.155175,0,,Kepler-873
,0.0374071,0,,Kepler-872
,0.159318,0,,Kepler-871
,0.151158,0,,Kepler-870
,0.67057,0.039,,Kepler-87
,0.477022,0.036,,Kepler-87
,0.228204,0,,Kepler-869
,0.0560993,0,,Kepler-868
,0.537936,0,,Kepler-867
,0.0337676,0,,Kepler-866
,0.11183,0,,Kepler-865
,0.0634219,0,,Kepler-864
,0.120507,0,,Kepler-863
,0.0402889,0,,Kepler-862
,0.0457701,0,,Kepler-861
,0.0587592,0,,Kepler-860
,0.136122,0,,Kepler-859
,0.346809,0,,Kepler-858
,0.378116,0,,Kepler-857
,0.0774029,0,,Kepler-856
,0.0783093,0,,Kepler-855
,0.0342955,0,,Kepler-854
,0.0794128,0,,Kepler-853
,0.262112,0,,Kepler-852
,0.078449,0,,Kepler-851
,0.0743561,0,,Kepler-850
,0.168293,,,Kepler-85
,0.133985,,,Kepler-85
