MSINI,A,ECC,K,STAR
mjupiter,au,,m/s,
,0.363618,0,,Kepler-538
,0.0438974,0,,Kepler-537
,0.0284473,0,,Kepler-536
,0.059689,0,,Kepler-535
,0.126093,0,,Kepler-534
,0.168131,0,,Kepler-533
,0.102896,0,,Kepler-532
,0.173489,0,,Kepler-531
,0.223973,0,,Kepler-530
,0.221868,,,Kepler-53
,0.136705,,,Kepler-53
,0.0893308,,,Kepler-53
,0.109729,0,,Kepler-529
,0.0315668,0,,Kepler-529
,0.143629,0,,Kepler-528
,0.119195,0,,Kepler-527
,0.0635655,0,,Kepler-526
,0.135465,0,,Kepler-525
,0.0803909,0,,Kepler-524
,0.0307775,0,,Kepler-524
,0.0619218,0,,Kepler-523
,0.25806,0,,Kepler-522
,0.170471,0,,Kepler-521
,0.147232,0,,Kepler-520
,0.0607231,0,,Kepler-520
,0.215129,,,Kepler-52
,0.10281,,,Kepler-52
,0.0630945,,,Kepler-52
,0.157968,0,,Kepler-519
,0.0804858,0,,Kepler-518
,0.297893,0,,Kepler-517
,0.195757,0,,Kepler-516
,0.139053,0,,Kepler-515
,0.0674219,0,,Kepler-514
,0.185365,0,,Kepler-513
,0.218278,0,,Kepler-512
,0.870478,0,,Kepler-511
,0.137663,0,,Kepler-510
,0.379271,,,Kepler-51
,0.248169,,,Kepler-51
,0.243116,0,,Kepler-509
,0.177259,0,,Kepler-508
,0.0480157,0,,Kepler-507
,0.0750455,0,,Kepler-506
,0.146166,0,,Kepler-505
,0.060873,0,,Kepler-504
,0.073611,0,,Kepler-503
,0.0541085,0,,Kepler-502
,0.0626287,0,,Kepler-501
,0.0821049,0,,Kepler-500
,0.0932375,,,Kepler-50
,0.0825598,,,Kepler-50
2.11222,0.0506416,0,227.5,Kepler-5
,0.0591446,0,,Kepler-499
,0.0878909,0,,Kepler-498
,0.0470747,0,,Kepler-497
,0.0763472,0,,Kepler-496
,0.0421891,0,,Kepler-495
,0.0809789,0,,Kepler-494
,0.0451413,0,,Kepler-493
,0.0989169,0,,Kepler-492
,0.0518237,0,,Kepler-491
,0.0442246,0,,Kepler-490
,0.137369,,,Kepler-49
,0.07889,,,Kepler-49
,0.0598092,,,Kepler-49
,0.0367817,,,Kepler-49
,0.122418,0,,Kepler-489
,0.0427479,0,,Kepler-488
,0.216804,0,,Kepler-487
,0.117181,0,,Kepler-487
,0.176071,0,,Kepler-486
,0.0438587,0,,Kepler-485
,0.0898835,0,,Kepler-484
,0.206202,0,,Kepler-483
,0.261363,0,,Kepler-482
,0.0915102,0,,Kepler-481
,0.0609811,0,,Kepler-480
0.0456363,0.0851485,,4.74,Kepler-48
0.0123287,0.0532027,0,1.62,Kepler-48
,0.229818,0,1.57,Kepler-48
,0.100206,0,,Kepler-479
,0.103659,0,,Kepler-478
,0.093078,0,,Kepler-477
,0.114843,0,,Kepler-476
,0.0396151,0,,Kepler-475
,0.0619532,0,,Kepler-474
,0.118968,0,,Kepler-473
,0.048077,0,,Kepler-472
,0.0654845,0,,Kepler-471
,0.185532,0,,Kepler-470
,0.895669,0,,Kepler-47
,0.267621,0,,Kepler-47
,0.220045,0,,Kepler-468
,0.17004,0,,Kepler-467
,0.272969,0,,Kepler-466
,0.0475122,0,,Kepler-466
,0.0969435,0,,Kepler-465
,0.0781697,0,,Kepler-464
,0.0807229,0,,Kepler-463
,0.440508,0,,Kepler-462
,0.0797776,0,,Kepler-461
,0.729773,0,,Kepler-460
,0.280101,0.0146,,Kepler-46
,0.1969,0.01,,Kepler-46
,0.146743,0,,Kepler-458
4.47335,1.28539,0.0214,110.44,Kepler-454
0.0215581,0.0951314,0,1.96,Kepler-454
0.510798,0.0298817,0.11,110,Kepler-45
,0.151393,0,,Kepler-448
1.36628,0.0769686,0.123,141,Kepler-447
,0.0352283,0,,Kepler-446
,0.0247723,0,,Kepler-446
,0.0159282,0,,Kepler-446
,0.044761,0,,Kepler-445
,0.0317534,0,,Kepler-445
,0.022904,0,,Kepler-445
,0.0813861,0.29,,Kepler-444
,0.0698427,0.1,,Kepler-444
,0.0601536,0.18,,Kepler-444
,0.0489676,0.31,,Kepler-444
,0.0419153,0.16,,Kepler-444
,0.558942,0,,Kepler-443
,0.386141,0,,Kepler-442
,0.568939,0,,Kepler-441
,0.353207,0,,Kepler-440
1.01508,0.0454854,0,124,Kepler-44
,0.594654,0,,Kepler-439
,0.171702,0,,Kepler-438
,0.286604,0,,Kepler-437
,0.281824,0,,Kepler-436
,0.115577,0,,Kepler-436
0.854333,0.0948432,0.114,64,Kepler-435
2.85432,0.114265,0.131,221,Kepler-434
2.84877,0.0678214,0.119,259,Kepler-433
5.47081,0.301404,0.5134,286.8,Kepler-432
2.36402,1.17816,0.498,62.1,Kepler-432
,0.104497,,,Kepler-431
,0.0847193,,,Kepler-431
,0.0718902,,,Kepler-431
,0.4757,,,Kepler-430
,0.224449,,,Kepler-430
3.21573,0.0449294,0,375,Kepler-43
1.28426,0.0432987,0,188,Kepler-428
0.310432,0.091351,0,29.8,Kepler-427
0.341143,0.0413383,0,50,Kepler-426
0.248704,0.0464979,0,34,Kepler-425
7.03702,0.724323,0.319,246,Kepler-424
1.03429,0.0436419,0.002,140,Kepler-424
0.722794,0.038671,0.0102,101,Kepler-423
0.43015,0.0812822,0.016,40,Kepler-422
,1.43442,0.041,,Kepler-421
,0.381935,0.772,,Kepler-420
,0.0150222,,,Kepler-42
,0.0112809,,,Kepler-42
,0.00585017,,,Kepler-42
,1.68144,0.184,,Kepler-419
,0.370106,0.833,,Kepler-419
0.928529,0.0295963,0.0038,142,Kepler-412
,0.07255,0,,Kepler-411
,0.142508,0.17,,Kepler-410 A
0.493327,0.0289537,0,85,Kepler-41
0,0.0149747,0,0,Kepler-407
0.0199895,0.0361437,0,2.89,Kepler-406
0.00857506,0.0555527,0,1,Kepler-406
,0.187804,,,Kepler-405
,0.0945195,,,Kepler-405
,0.117713,,,Kepler-404
,0.101608,,,Kepler-404
,0.280567,,,Kepler-403
,0.0718296,,,Kepler-403
,0,0,,Kepler-403
,0.098218,,,Kepler-402
,0.0841819,,,Kepler-402
,0.0655142,,,Kepler-402
,0.0495511,,,Kepler-402
,0.256031,,,Kepler-401
,0.115746,,,Kepler-401
,0,0,,Kepler-401
,0.131115,,,Kepler-400
,0.0848304,,,Kepler-400
2.17681,0.0806644,0,179,Kepler-40
0.0772272,0.0455763,0,9.3,Kepler-4
,0.293358,,,Kepler-399
,0.174723,,,Kepler-399
,0.115973,,,Kepler-399
,0.0992436,,,Kepler-398
,0.0499821,,,Kepler-398
,0,0,,Kepler-398
,0.516293,,,Kepler-397
,0.154824,,,Kepler-397
,0.209361,,,Kepler-395
,0.0719854,,,Kepler-395
,0.103323,,,Kepler-394
,0.0783155,,,Kepler-394
,0.11698,,,Kepler-393
,0.0858179,,,Kepler-393
,0.0933838,,,Kepler-392
,0.0598046,,,Kepler-392
,0.146522,,,Kepler-391
,0.0744302,,,Kepler-391
,0.108535,,,Kepler-390
,0.0698175,,,Kepler-390
18.1767,0.155007,0.121,1251,Kepler-39
,0.116434,,,Kepler-389
,0.0428881,,,Kepler-389
,0.109844,,,Kepler-388
,0.0422619,,,Kepler-388
,0.101652,,,Kepler-387
,0.0701869,,,Kepler-387
,0.168189,,,Kepler-386
,0.104341,,,Kepler-386
,0.119895,,,Kepler-385
,0.0911035,,,Kepler-385
,0.248874,,,Kepler-384
,0.156426,,,Kepler-384
,0.193962,,,Kepler-383
,0.107672,,,Kepler-383
,0.103505,,,Kepler-382
,0.0592083,,,Kepler-382
,0.110364,,,Kepler-381
,0.0619291,,,Kepler-381
,0.0758501,,,Kepler-380
,0.0487448,,,Kepler-380
,0.429659,0,,Kepler-38
,0.309155,,,Kepler-379
,0.144671,,,Kepler-379
,0.184331,,,Kepler-378
,0.124744,,,Kepler-378
,0.176201,,,Kepler-377
,0.105463,,,Kepler-377
,0.114613,,,Kepler-376
,0.0566146,,,Kepler-376
,0.144132,,,Kepler-375
,0.103296,,,Kepler-375
,0.0574402,,,Kepler-374
,0.0432285,,,Kepler-374
,0.0299991,,,Kepler-374
,0.127997,,,Kepler-373
,0.0612399,,,Kepler-373
,0.189342,,,Kepler-372
,0.144457,,,Kepler-372
,0.0705863,,,Kepler-372
,0.325944,,,Kepler-371
,0.208459,,,Kepler-371
,0.139463,,,Kepler-370
,0.0539702,,,Kepler-370
0.0107883,0.139784,0.0984886,0.92,Kepler-37
0.00958399,0.102457,0,0.95,Kepler-37
0.0057744,0.212021,0.102489,0.4,Kepler-37
,0.118353,,,Kepler-369
,0.0382537,,,Kepler-369
,0.339899,,,Kepler-368
,0.175473,,,Kepler-368
,0.278143,,,Kepler-367
,0.22049,,,Kepler-367
,0.1055,,,Kepler-366
,0.043221,,,Kepler-366
,0.13334,,,Kepler-365
,0.0948224,,,Kepler-365
,0.29988,,,Kepler-364
,0.170638,,,Kepler-364
,0.102192,,,Kepler-363
,0.0752686,,,Kepler-363
,0.046094,,,Kepler-363
,0.220686,,,Kepler-362
,0.0928099,,,Kepler-362
,0.283685,,,Kepler-361
,0.081426,,,Kepler-361
,0.0728812,,,Kepler-360
,0.0432887,,,Kepler-360
,0.128401,0,,Kepler-36
,0.115423,0,,Kepler-36
,0.354508,,,Kepler-359
,0.292189,,,Kepler-359
,0.169831,,,Kepler-359
,0.373844,,,Kepler-358
,0.20564,,,Kepler-358
,0.263841,,,Kepler-357
,0.128672,,,Kepler-357
,0.0679912,,,Kepler-357
,0.108876,,,Kepler-356
,0.0542304,,,Kepler-356
,0.170712,,,Kepler-355
,0.0969854,,,Kepler-355
,0.163783,,,Kepler-354
,0.129058,,,Kepler-354
,0.0608066,,,Kepler-354
,0.0809409,,,Kepler-353
,0.0631426,,,Kepler-353
,0.125984,,,Kepler-352
,0.0911742,,,Kepler-352
,0.513692,0,,Kepler-351
,0.290701,,,Kepler-351
,0.217522,,,Kepler-351
,0.0979073,,,Kepler-350
,0.48628,0.042,,Kepler-35
,0.103986,,,Kepler-349
,0.0641159,,,Kepler-349
,0.130735,,,Kepler-348
,0.0720019,,,Kepler-348
,0.177529,,,Kepler-347
,0.10708,,,Kepler-347
,0.162163,,,Kepler-346
,0.0682408,,,Kepler-346
,0.0870905,,,Kepler-345
,0.0744222,,,Kepler-345
,0.490824,,,Kepler-344
,0.15349,,,Kepler-344
,0.159296,,,Kepler-343
,0.0844802,,,Kepler-343
,0.226833,,,Kepler-342
,0.17279,,,Kepler-342
,0.119932,,,Kepler-342
,0.0283971,0,,Kepler-342
,0.238241,,,Kepler-341
,0.179022,,,Kepler-341
,0.0783507,,,Kepler-341
,0.0587074,,,Kepler-341
,0.157474,,,Kepler-340
,0.118208,,,Kepler-340
,0.86856,0.182,,Kepler-34
,0.0941898,,,Kepler-339
,0.0715337,,,Kepler-339
,0.0570545,,,Kepler-339
,0.245507,,,Kepler-338
,0.164238,,,Kepler-338
,0.112199,,,Kepler-338
,0.0889716,,,Kepler-337
,0.043316,,,Kepler-337
,0.147443,,,Kepler-336
,0.0884004,,,Kepler-336
,0.0313231,,,Kepler-336
,0.325549,,,Kepler-335
,0.0685981,,,Kepler-335
,0.167766,,,Kepler-334
,0.106855,,,Kepler-334
,0.0607596,,,Kepler-334
,0.163234,,,Kepler-333
,0.105697,,,Kepler-333
,0.206247,,,Kepler-332
,0.124244,,,Kepler-332
,0.0758257,,,Kepler-332
,0.197812,,,Kepler-331
,0.130814,,,Kepler-331
,0.0812396,,,Kepler-331
,0.124035,,,Kepler-330
,0.0799685,,,Kepler-330
,0.253499,0,,Kepler-33
,0.213825,0,,Kepler-33
,0.166175,0,,Kepler-33
,0.118876,0,,Kepler-33
,0.0677431,0,,Kepler-33
,0.137805,,,Kepler-329
,0.0744278,,,Kepler-329
,0.113517,,,Kepler-327
,0.0588339,,,Kepler-327
,0.0365246,,,Kepler-327
,0.0700163,,,Kepler-326
,0.0539767,,,Kepler-326
,0.0335877,,,Kepler-326
,0.223972,,,Kepler-325
,0.106878,,,Kepler-325
,0.0536941,,,Kepler-325
,0.271972,,,Kepler-324
,0.0524333,,,Kepler-324
,0.0455761,,,Kepler-323
,0.0276391,,,Kepler-323
,0.0520493,,,Kepler-322
,0.0273702,,,Kepler-322
,0.108723,,,Kepler-321
,0.0565776,,,Kepler-321
,0.134093,,,Kepler-320
,0.0806883,,,Kepler-320
,0.128069,0,,Kepler-32
,0.0676835,0,,Kepler-32
,0.0520435,0,,Kepler-32
,0.0323795,,,Kepler-32
,0.0130732,0,,Kepler-32
,0.196363,,,Kepler-319
,0.0712147,,,Kepler-319
,0.0522529,,,Kepler-319
,0.101523,,,Kepler-318
,0.0546218,,,Kepler-318
,0.0832604,,,Kepler-317
,0.0611582,,,Kepler-317
,0.0704356,,,Kepler-316
,0.0335097,,,Kepler-316
,0.808381,,,Kepler-315
,0.410606,,,Kepler-315
,0.0643363,,,Kepler-314
,0.0356743,,,Kepler-314
,0.198382,,,Kepler-313
,0.118876,,,Kepler-313
,0.142982,,,Kepler-312
,0.0286627,,,Kepler-312
,0.142937,,,Kepler-311
,0.0857785,,,Kepler-311
,0.401368,,,Kepler-310
,0.28808,,,Kepler-310
,0.113307,,,Kepler-310
,0.386163,,,Kepler-31
,0.254502,0,,Kepler-31
,0.158038,0,,Kepler-31
,0.436563,,,Kepler-309
,0.0640717,,,Kepler-309
,0.121047,,,Kepler-308
,0.0889821,,,Kepler-308
,0.247015,,,Kepler-306
,0.131044,,,Kepler-306
,0.0732442,,,Kepler-306
,0.0544926,,,Kepler-306
,0.128062,,,Kepler-305
,0.0887283,,,Kepler-304
,0.0596111,,,Kepler-304
,0.0433417,,,Kepler-304
,0.0237976,0,,Kepler-304
,0.0720317,,,Kepler-303
,0.0304113,,,Kepler-303
,0.495205,,,Kepler-302
,0.189725,,,Kepler-302
,0.112331,,,Kepler-301
,0.0603792,,,Kepler-301
,0.0361317,,,Kepler-301
,0.23162,,,Kepler-300
,0.0935225,,,Kepler-300
,0.534239,0.022,,Kepler-30
,0.300013,0.0111,,Kepler-30
,0.185524,0.042,,Kepler-30
,0.222312,,,Kepler-299
,0.119323,,,Kepler-299
,0.0708347,,,Kepler-299
,0.0400468,,,Kepler-299
,0.355666,,,Kepler-298
,0.157953,,,Kepler-298
,0.0936962,,,Kepler-298
,0.347807,,,Kepler-297
,0.224576,,,Kepler-297
,0.310961,,,Kepler-296
,0.205969,,,Kepler-296
,0.143477,,,Kepler-296
,0.063479,,,Kepler-296
,0.0461525,,,Kepler-296
,0.204929,,,Kepler-295
,0.151444,,,Kepler-295
,0.106224,,,Kepler-295
,0.0690438,,,Kepler-294
,0.0468277,,,Kepler-294
,0.280136,,,Kepler-293
,0.140591,,,Kepler-293
,0.148181,,,Kepler-292
,0.10246,,,Kepler-292
,0.0719945,,,Kepler-292
,0.0469467,,,Kepler-292
,0.0368224,,,Kepler-292
,0.0624544,,,Kepler-291
,0.0455136,,,Kepler-291
,0.216407,,,Kepler-290
,0.11685,,,Kepler-290
,0.109809,0,,Kepler-29
,0.0928723,0,,Kepler-29
,0.491526,,,Kepler-289
,0.328137,0.011,,Kepler-289
,0.207581,,,Kepler-289
,0.288618,,,Kepler-288
,0.140842,,,Kepler-288
,0.065318,,,Kepler-288
,0.247055,,,Kepler-287
,0.145838,,,Kepler-287
,0.185669,,,Kepler-286
,0.0640044,,,Kepler-286
,0.0448402,,,Kepler-286
,0.0289196,,,Kepler-286
,0.0659546,,,Kepler-285
,0.0373252,,,Kepler-285
,0.219317,,,Kepler-284
,0.106526,,,Kepler-284
,0.400986,,,Kepler-283
,0.0968462,,,Kepler-283
,0.111718,,,Kepler-282
,0.0860552,,,Kepler-282
,0.214705,,,Kepler-281
,0.117153,,,Kepler-281
,0.0557436,,,Kepler-280
,0.0324953,,,Kepler-280
,0.0768547,0,,Kepler-28
,0.0581375,0,,Kepler-28
,0.104337,,,Kepler-279
,0.269422,,,Kepler-278
,0.189627,,,Kepler-278
,0.114376,,,Kepler-276
,0.212092,,,Kepler-275
,0.124722,,,Kepler-275
,0.0926511,,,Kepler-275
,0.202153,,,Kepler-274
,0.100488,,,Kepler-274
,0.0783802,,,Kepler-273
,0.0401325,,,Kepler-273
,0.0964303,,,Kepler-272
,0.0650321,,,Kepler-272
,0.0404491,,,Kepler-272
,0.0743912,,,Kepler-271
,0.0588746,,,Kepler-271
,0,0,,Kepler-271
,0.168498,,,Kepler-270
,0.0995717,,,Kepler-270
,0.168484,0,,Kepler-27
,0.10464,0,,Kepler-27
,0.079115,,,Kepler-269
,0.0596916,,,Kepler-269
,0.373719,,,Kepler-268
,0.17147,,,Kepler-268
,0.182449,,,Kepler-267
,0.0707769,,,Kepler-267
,0.0438489,,,Kepler-267
,0.443078,,,Kepler-266
,0.0689878,,,Kepler-266
,0.325506,,,Kepler-265
,0.240693,,,Kepler-265
,0.129538,,,Kepler-265
,0.0705628,,,Kepler-265
,0.52792,,,Kepler-264
,0.231966,,,Kepler-264
,0.256083,,,Kepler-263
,0.127191,,,Kepler-263
,0.152976,,,Kepler-262
,0.108539,,,Kepler-262
,0.165407,,,Kepler-261
,0.0931334,,,Kepler-261
,0.351296,,,Kepler-260
,0.0795006,,,Kepler-260
,0.254259,,,Kepler-26
,0.113189,0,,Kepler-26
,0.0902469,0,,Kepler-26
,0.0454914,,,Kepler-26
,0.217013,,,Kepler-259
,0.0790333,,,Kepler-259
,0.203997,,,Kepler-258
,0.109294,,,Kepler-258
,0.165827,,,Kepler-257
,0.0687315,,,Kepler-257
,0.0349126,,,Kepler-257
,0.0949212,,,Kepler-256
,0.0634611,,,Kepler-256
,0.0441473,,,Kepler-256
,0.0270005,,,Kepler-256
,0.0905121,,,Kepler-255
,0.0625553,,,Kepler-255
,0.0199578,0,,Kepler-255
,0.138108,,,Kepler-254
,0.104915,,,Kepler-254
,0.0633704,,,Kepler-254
,0.135013,,,Kepler-253
,0.0925387,,,Kepler-253
,0.0475233,,,Kepler-253
,0.0959074,,,Kepler-252
,0.0693352,,,Kepler-252
,0.420626,,,Kepler-251
,0.189511,,,Kepler-251
,0.126914,,,Kepler-251
,0.0556186,,,Kepler-251
,0.132661,,,Kepler-250
,0.0726807,,,Kepler-250
,0.0505253,,,Kepler-250
,0.113014,0,5.63,Kepler-25
,0.0702822,0,2.8,Kepler-25
,0.120974,,,Kepler-249
,0.0723886,,,Kepler-249
,0.0434366,,,Kepler-249
,0.125503,,,Kepler-248
,0.0668155,,,Kepler-248
,0.146486,,,Kepler-247
,0.087412,,,Kepler-247
,0.0436956,,,Kepler-247
,0.0978933,,,Kepler-246
,0.0541452,,,Kepler-246
,0.214468,,,Kepler-245
,0.131719,,,Kepler-245
,0.0749207,,,Kepler-245
,0.0396148,0,,Kepler-245
,0.14444,,,Kepler-244
,0.0894244,,,Kepler-244
,0.0518456,,,Kepler-244
,0.144324,,,Kepler-243
,0.0625614,,,Kepler-243
,0.116354,,,Kepler-242
,0.0796077,,,Kepler-242
,0.213635,,,Kepler-241
,0.106632,,,Kepler-241
,0.0779794,,,Kepler-240
,0.0504957,,,Kepler-240
,0.139343,,,Kepler-24
,0.105496,0,,Kepler-24
,0.0513038,,,Kepler-24
,0.287238,,,Kepler-239
,0.101225,,,Kepler-239
,0.109494,,,Kepler-238
,0.0657332,,,Kepler-238
,0.0320006,,,Kepler-238
,0.0789575,,,Kepler-237
,0.0550302,,,Kepler-237
,0.162691,,,Kepler-236
,0.0801996,,,Kepler-236
,0.251922,,,Kepler-235
,0.144489,,,Kepler-235
,0.0771364,,,Kepler-235
,0.0437311,,,Kepler-235
,0.0730543,,,Kepler-234
,0.0380552,,,Kepler-234
,0.301339,,,Kepler-233
,0.0813349,,,Kepler-233
,0.0990113,,,Kepler-232
,0.0527986,,,Kepler-232
,0.140675,,,Kepler-231
,0.0912341,,,Kepler-231
,0.398184,,,Kepler-230
,0.199823,,,Kepler-230
,0.12048,,,Kepler-23
,0.0986522,0,,Kepler-23
,0.0749015,0,,Kepler-23
,0.233437,,,Kepler-229
,0.124621,,,Kepler-229
,0.0664249,,,Kepler-229
,0.0973508,,,Kepler-228
,0.050414,,,Kepler-228
,0.0366865,,,Kepler-228
,0.281042,,,Kepler-227
,0.0877115,,,Kepler-227
,0.0789926,,,Kepler-226
,0.0598621,,,Kepler-226
,0.0488289,,,Kepler-226
,0.138343,,,Kepler-225
,0.0698236,,,Kepler-225
,0.137602,,,Kepler-224
,0.0988375,,,Kepler-224
,0.0640814,,,Kepler-224
,0.0419025,,,Kepler-224
,0.142858,,,Kepler-223
,0.117913,,,Kepler-223
,0.0899174,,,Kepler-223
,0.0742116,,,Kepler-223
,0.180811,,,Kepler-222
,0.0913762,,,Kepler-222
,0.0487958,,,Kepler-222
,0.136253,,,Kepler-221
,0.0910907,,,Kepler-221
,0.0623799,,,Kepler-221
,0.0388408,,,Kepler-221
,0.250899,,,Kepler-220
,0.180985,,,Kepler-220
,0.0848919,,,Kepler-220
,0.05062,,,Kepler-220
,0.848513,,,Kepler-22
,0.258138,,,Kepler-219
,0.156968,,,Kepler-219
,0.0540172,,,Kepler-219
,0.246495,,,Kepler-218
,0.0461345,,,Kepler-218
,0,0,,Kepler-218
,0.0820605,,,Kepler-217
,0.0600513,,,Kepler-217
,0,0,,Kepler-217
,0.131447,,,Kepler-216
,0.0762713,,,Kepler-216
,0.326561,,,Kepler-215
,0.192566,,,Kepler-215
,0.117265,,,Kepler-215
,0.086925,,,Kepler-215
,0.183794,,,Kepler-214
,0.122502,,,Kepler-214
,0.0558662,,,Kepler-213
,0.0356868,,,Kepler-213
,0.196459,,,Kepler-212
,0.125596,,,Kepler-212
,0.0649112,,,Kepler-211
,0.0504476,,,Kepler-211
,0.0781034,,,Kepler-210
,0.0355986,,,Kepler-210
,0.0427173,0,,Kepler-21
,0.235528,,,Kepler-209
,0.124721,,,Kepler-209
,0.125606,,,Kepler-208
,0.09757,,,Kepler-208
,0.0747634,,,Kepler-208
,0.0511769,,,Kepler-208
,0.0636703,,,Kepler-207
,0.0413536,,,Kepler-207
,0.0269045,,,Kepler-207
,0.160305,,,Kepler-206
,0.108963,,,Kepler-206
,0.0768541,,,Kepler-206
,0.145668,,,Kepler-205
,0.038467,,,Kepler-205
,0.170262,,,Kepler-204
,0.115842,,,Kepler-204
,0.0987232,,,Kepler-203
,0.0600193,,,Kepler-203
,0.0421675,,,Kepler-203
,0.125725,,,Kepler-202
,0.0498841,,,Kepler-202
,0.557119,,,Kepler-201
,0.170313,,,Kepler-201
,0.0921796,,,Kepler-200
,0.0821165,,,Kepler-200
0.0494862,0.0930411,0,4.83,Kepler-20
0.0266149,0.0453704,0,3.72,Kepler-20
0.0236858,0.345324,0,1.2,Kepler-20
,0.137859,0,,Kepler-20
,0.063351,0,,Kepler-20
,0.323142,,,Kepler-199
,0.161192,,,Kepler-199
,0.264081,,,Kepler-198
,0.13337,,,Kepler-198
,0.0228923,0,,Kepler-198
,0.168262,,,Kepler-197
,0.122591,,,Kepler-197
,0.0929448,,,Kepler-197
,0.061711,,,Kepler-197
,0.256426,,,Kepler-196
,0.147733,,,Kepler-196
,0.205786,,,Kepler-195
,0.0802786,,,Kepler-195
,0.275493,,,Kepler-194
,0.13095,,,Kepler-194
,0.032015,,,Kepler-194
,0.26808,,,Kepler-193
,0.0990643,,,Kepler-193
,0.15002,,,Kepler-192
,0.090395,,,Kepler-192
,0,0,,Kepler-192
,0.133112,,,Kepler-191
,0.0904732,,,Kepler-191
,0.0608391,0,,Kepler-191
,0.0473476,,,Kepler-190
,0.0312733,,,Kepler-190
,0.0845828,0,,Kepler-19
,0.144846,,,Kepler-189
,0.0932453,,,Kepler-189
,0.0645963,,,Kepler-188
,0.0317043,,,Kepler-188
,0.0946763,,,Kepler-187
,0.0567577,,,Kepler-187
,0.392576,0.01,,Kepler-186
,0.121623,0.03,,Kepler-186
,0.0860831,0.03,,Kepler-186
,0.0574114,0.03,,Kepler-186
,0.0378277,0.04,,Kepler-186
,0.147681,,,Kepler-185
,0.0271381,,,Kepler-185
,0.184825,,,Kepler-184
,0.145651,,,Kepler-184
,0.0949568,,,Kepler-184
,0.100501,,,Kepler-183
,0.0623606,,,Kepler-183
,0.147469,,,Kepler-182
,0.0897811,,,Kepler-182
,0.0517683,,,Kepler-181
,0.0419466,,,Kepler-181
,0.236039,,,Kepler-180
,0.11269,,,Kepler-180
,0.117171,0.000521567,,Kepler-18
,0.0752115,0.000338541,,Kepler-18
,0.0447299,0,,Kepler-18
,0.067463,,,Kepler-179
,0.0382833,,,Kepler-179
,0.412251,,,Kepler-178
,0.146843,,,Kepler-178
,0.0882572,,,Kepler-178
,0.170666,,,Kepler-176
,0.106865,,,Kepler-176
,0.0604835,,,Kepler-176
,0,0,,Kepler-176
,0.205538,,,Kepler-175
,0.102029,,,Kepler-175
,0.771174,,,Kepler-174
,0.243919,,,Kepler-174
,0.113583,,,Kepler-174
,0.0783205,,,Kepler-173
,0.0514597,,,Kepler-173
,0.209877,,,Kepler-172
,0.117052,,,Kepler-172
,0.0673847,,,Kepler-172
,0.0401669,,,Kepler-172
,0.227355,,,Kepler-171
,0.0994986,,,Kepler-171
,0.0506781,,,Kepler-171
,0.12769,,,Kepler-170
,0.0778294,,,Kepler-170
2.47651,0.0267923,0,399,Kepler-17
,0.38452,,,Kepler-169
,0.112418,,,Kepler-169
,0.0805377,,,Kepler-169
,0.066017,,,Kepler-169
,0.0429455,,,Kepler-169
,0.109272,,,Kepler-168
,0.0527522,,,Kepler-168
,0.0681548,,,Kepler-167
,0.0481157,,,Kepler-167
,0.206443,,,Kepler-166
,0.0759843,,,Kepler-166
,0,0,,Kepler-166
,0.120683,,,Kepler-165
,0.0794582,,,Kepler-165
,0.0330793,0,,Kepler-1646
,0.126015,0,,Kepler-1645
,0.143703,0,,Kepler-1644
,0.058171,0,,Kepler-1643
,0.0994208,0,,Kepler-1642
,0.0663298,0,,Kepler-1642
,0.20765,0,,Kepler-1641
,0.148109,0,,Kepler-1641
,0.081813,0,,Kepler-1640
,0.184674,,,Kepler-164
,0.0964797,,,Kepler-164
,0.0574921,,,Kepler-164
,0.0935706,0,,Kepler-1639
,0.787843,0,,Kepler-1638
,0.0658388,0,,Kepler-1637
,1.11079,0,,Kepler-1636
,1.13739,0,,Kepler-1635
,0.989603,0,,Kepler-1634
,0.678637,0,,Kepler-1633
,1.19049,0,,Kepler-1632
,0.049588,0,,Kepler-1631
,1.08768,0,,Kepler-1630
,0.150603,,,Kepler-163
,0.0770446,,,Kepler-163
,0.0484507,0,,Kepler-1629
,0.288651,0,,Kepler-1628
,0.0696812,0,,Kepler-1627
,0.0578859,0,,Kepler-1626
,0.84075,0,,Kepler-1625
,0.0343627,0,,Kepler-1624
,0.0522416,0,,Kepler-1623
,0.104704,0,,Kepler-1622
,0.418658,0,,Kepler-1621
,0.447475,0,,Kepler-1620
,0.141525,,,Kepler-162
,0.0710671,,,Kepler-162
,0.161123,0,,Kepler-1619
,0.0733316,0,,Kepler-1618
,0.18671,0,,Kepler-1617
,0.0745798,0,,Kepler-1616
,0.259379,0,,Kepler-1615
,0.045182,0,,Kepler-1614
,0.0265264,0,,Kepler-1613
,0.047981,0,,Kepler-1612
,0.0573666,0,,Kepler-1611
,0.0802343,0,,Kepler-1610
,0.0720527,,,Kepler-161
,0.0566234,,,Kepler-161
,0.487197,0,,Kepler-1609
,0.11512,0,,Kepler-1608
,0.116755,0,,Kepler-1607
,0.638509,0,,Kepler-1606
,0.361924,0,,Kepler-1605
,0.0141581,0,,Kepler-1604
,0.036038,0,,Kepler-1603
,0.104553,0,,Kepler-1602
,0.0336339,0,,Kepler-1601
,0.987284,0,,Kepler-1600
,0.112047,,,Kepler-160
,0.0518266,,,Kepler-160
